order_id,date,product_id,product_name,category,units,price_per_unit,revenue,utm_source,utm_medium
ORD-1000,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1001,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1002,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1003,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1004,2023-10-01,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1005,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1006,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1007,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1008,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1009,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1010,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1011,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1012,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1013,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1014,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1015,2023-10-01,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1016,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1017,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1018,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1019,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1020,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1021,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1022,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1023,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1024,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1025,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1026,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1027,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1028,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1029,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1030,2023-10-01,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1031,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1032,2023-10-01,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1033,2023-10-01,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1034,2023-10-01,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1035,2023-10-01,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1036,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1037,2023-10-02,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1038,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1039,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1040,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1041,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1042,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1043,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1044,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1045,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1046,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1047,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1048,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1049,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1050,2023-10-02,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1051,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1052,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1053,2023-10-02,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1054,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1055,2023-10-02,TRD-01,Treadmill,Bulky,3,300.0,900.0,Meta,cpc
ORD-1056,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
ORD-1057,2023-10-02,TRD-01,Treadmill,Bulky,2,300.0,600.0,Meta,cpc
ORD-1058,2023-10-02,TRD-01,Treadmill,Bulky,1,300.0,300.0,Meta,cpc
